Question,Answer
"['pay', 'loan', 'early']","['many', 'loan', 'allow', 'early', 'repayment', 'check', 'prepayment', 'penalty', 'loan', 'agreement']"
"['grace', 'period']","['grace', 'period', 'set', 'time', 'payment', 'due', 'date', 'make', 'payment', 'without', 'penalty']"
"['loan', 'default']","['default', 'occurs', 'borrower', 'fails', 'make', 'loan', 'payment', 'agreed', 'potentially', 'leading', 'legal', 'action']"
"['personal', 'loan']","['personal', 'loan', 'unsecured', 'loan', 'based', 'creditworthiness', 'often', 'used', 'personal', 'expense']"
"['auto', 'loan', 'work']","['auto', 'loan', 'secured', 'loan', 'specifically', 'purchasing', 'vehicle', 'vehicle', 'serving', 'collateral']"
['mortgage'],"['mortgage', 'loan', 'used', 'buy', 'real', 'estate', 'secured', 'property', 'itself']"
"['student', 'loan']","['student', 'loan', 'designed', 'help', 'cover', 'education', 'cost', 'may', 'lower', 'interest', 'rate', 'flexible', 'repayment', 'option']"
"['business', 'loan', 'differ', 'personal', 'loan']","['business', 'loan', 'specifically', 'business', 'purpose', 'may', 'require', 'different', 'documentation', 'collateral']"
"['compare', 'different', 'loan', 'offer']","['compare', 'interest', 'rate', 'term', 'fee', 'repayment', 'option', 'find', 'best', 'loan', 'need']"
"['origination', 'fee']","['origination', 'fee', 'upfront', 'fee', 'charged', 'lender', 'processing', 'loan', 'application']"
"['loan', 'amortization', 'schedule']","['amortization', 'schedule', 'outline', 'payment', 'loan', 'term', 'detailing', 'much', 'go', 'towards', 'principal', 'interest']"
"['refinance', 'loan']","['yes', 'refinancing', 'involves', 'obtaining', 'new', 'loan', 'pay', 'existing', 'one', 'often', 'secure', 'better', 'term']"
"['fixedrate', 'loan']","['fixedrate', 'loan', 'interest', 'rate', 'remains', 'throughout', 'loan', 'term']"
"['type', 'lender', 'offer', 'loan']","['bank', 'credit', 'union', 'online', 'lender', 'peertopeer', 'lender', 'offer', 'loan', 'product']"
"['online', 'loan', 'safe']","['many', 'reputable', 'online', 'lender', 'safe', 'essential', 'research', 'verify', 'legitimacy']"
"['payday', 'loan']","['payday', 'loan', 'shortterm', 'highinterest', 'loan', 'intended', 'cover', 'expense', 'next', 'payday']"
"['credit', 'union', 'differ', 'bank', 'loan']","['credit', 'union', 'nonprofit', 'organization', 'often', 'offer', 'lower', 'rate', 'fee', 'compared', 'traditional', 'bank']"
"['look', 'lender']","['look', 'competitive', 'interest', 'rate', 'transparency', 'fee', 'customer', 'service', 'positive', 'review']"
"['use', 'personal', 'loan', 'for']","['personal', 'loan', 'used', 'various', 'purpose', 'including', 'debt', 'consolidation', 'home', 'improvement', 'unexpected', 'expense']"
"['wise', 'use', 'loan', 'investing']","['using', 'loan', 'investing', 'risky', 'ensure', 'understand', 'potential', 'return', 'risk', 'involved']"
"['loan', 'affect', 'credit', 'score']","['loan', 'impact', 'credit', 'score', 'positively', 'negatively', 'depending', 'payment', 'history', 'credit', 'utilization']"
"['get', 'loan', 'bad', 'credit']","['yes', 'term', 'may', 'le', 'favorable', 'may', 'need', 'cosigner', 'collateral']"
"['tax', 'implication', 'loan']","['interest', 'loan', 'like', 'mortgage', 'may', 'taxdeductible', 'personal', 'loan', 'interest', 'typically', 'not']"
"['long', 'loan', 'application', 'process', 'take']","['process', 'vary', 'online', 'application', 'may', 'approved', 'within', 'hour', 'others', 'may', 'take', 'day']"
"['apply', 'multiple', 'loan', 'once']","['yes', 'mindful', 'multiple', 'inquiry', 'impact', 'credit', 'score']"
['preapproval'],"['preapproval', 'preliminary', 'assessment', 'lender', 'much', 'may', 'able', 'borrow']"
"['change', 'loan', 'application', 'submission']","['change', 'may', 'possible', 'depends', 'lender', '’', 's', 'policy', 'stage', 'application']"
"['loan', 'estimate']","['loan', 'estimate', 'document', 'provided', 'lender', 'outline', 'term', 'loan', 'including', 'rate', 'fee']"
"['im', 'selfemployed']","['selfemployed', 'individual', 'may', 'need', 'provide', 'additional', 'documentation', 'tax', 'return', 'qualify', 'loan']"
"['get', 'loan', 'i', '’', 'm', 'unemployed']","['may', 'challenging', 'lender', 'consider', 'source', 'income', 'cosigner']"
"['happens', 'loan', 'declare', 'bankruptcy']","['bankruptcy', 'discharge', 'debt', 'secured', 'loan', 'may', 'still', 'require', 'repayment', 'asset', 'forfeiture']"
"['transfer', 'loan', 'someone', 'else']","['loan', 'transfer', 'policy', 'vary', 'lender', 'may', 'allow', 'others', 'not']"
"['loan', 'modification']","['loan', 'modification', 'change', 'term', 'existing', 'loan', 'often', 'make', 'payment', 'manageable']"
"['manage', 'loan', 'payment', 'effectively']","['set', 'automatic', 'payment', 'create', 'budget', 'track', 'loan', 'balance', 'regularly']"
"['resource', 'available', 'loan', 'assistance']","['nonprofit', 'credit', 'counseling', 'agency', 'financial', 'advisor', 'provide', 'guidance', 'support']"
"['dispute', 'loan', 'charge']","['contact', 'lender', 'directly', 'discus', 'discrepancy', 'provide', 'documentation', 'support', 'claim']"
"['can', '’', 't', 'make', 'loan', 'payment']","['contact', 'lender', 'soon', 'possible', 'discus', 'option', 'deferment', 'modified', 'payment', 'plan']"
"['change', 'payment', 'due', 'date']","['lender', 'allow', 'change', 'payment', 'due', 'date', 'check', 'lender', 'policy']"
"['financial', 'literacy']","['financial', 'literacy', 'ability', 'understand', 'effectively', 'manage', 'personal', 'finance', 'including', 'loan']"
"['important', 'understand', 'loan']","['understanding', 'loan', 'help', 'make', 'informed', 'decision', 'avoid', 'excessive', 'debt', 'manage', 'repayment', 'effectively']"
"['predatory', 'loan']","['predatory', 'loan', 'unfair', 'term', 'condition', 'often', 'targeting', 'vulnerable', 'borrower']"
"['avoid', 'loan', 'scam']","['research', 'lender', 'look', 'review', 'wary', 'offer', 'seem', 'good', 'true']"
"['debttoincome', 'ratio']","['debttoincome', 'ratio', 'compare', 'monthly', 'debt', 'payment', 'gross', 'monthly', 'income', 'used', 'ass', 'loan', 'eligibility']"
"['loan', 'impact', 'longterm', 'financial', 'goal']","['loan', 'help', 'achieve', 'goal', 'like', 'homeownership', 'also', 'lead', 'longterm', 'debt', 'managed', 'wisely']"
"['loan', 'consolidation']","['loan', 'consolidation', 'combine', 'multiple', 'loan', 'single', 'loan', 'often', 'lower', 'interest', 'rate']"
"['plan', 'future', 'loan']","['establish', 'budget', 'maintain', 'good', 'credit', 'score', 'save', 'payment', 'collateral']"
"['risk', 'taking', 'multiple', 'loan']","['taking', 'multiple', 'loan', 'lead', 'financial', 'strain', 'highinterest', 'payment', 'difficulty', 'managing', 'repayment']"
"['prepare', 'large', 'loan', 'like', 'mortgage']","['save', 'payment', 'improve', 'credit', 'score', 'understand', 'mortgage', 'process']"
"['home', 'equity', 'loan']","['home', 'equity', 'loan', 'allows', 'homeowner', 'borrow', 'equity', 'home', 'using', 'property', 'collateral']"
"['line', 'credit']","['line', 'credit', 'flexible', 'loan', 'option', 'allows', 'borrow', 'set', 'limit', 'needed']"
"['interestonly', 'loan', 'work']","['interestonly', 'loan', 'require', 'pay', 'interest', 'set', 'period', 'begin', 'paying', 'principal']"
"['balloon', 'loan']","['balloon', 'loan', 'lower', 'payment', 'period', 'followed', 'large', 'final', 'payment', 'remaining', 'balance']"
"['fha', 'loan']","['fha', 'loan', 'governmentbacked', 'mortgage', 'designed', 'help', 'lowerincome', 'borrower', 'qualify', 'home', 'loan']"
"['loan', 'term']","['loan', 'term', 'duration', 'loan', 'must', 'repaid', 'typically', 'ranging', 'month', 'several', 'year']"
"['regulation', 'governing', 'loan']","['yes', 'loan', 'subject', 'federal', 'state', 'regulation', 'protect', 'borrower', 'unfair', 'practice']"
"['loan', 'underwriting', 'process']","['underwriting', 'process', 'lender', 'use', 'ass', 'risk', 'lending', 'borrower', 'evaluating', 'financial', 'history', 'creditworthiness']"
"['significance', 'loan', 'closing', 'process']","['closing', 'process', 'finalizes', 'loan', 'agreement', 'borrower', 'sign', 'document', 'fund', 'disbursed']"
"['loan', 'term', 'customized']","['lender', 'offer', 'customizable', 'loan', 'term', 'allowing', 'borrower', 'choose', 'repayment', 'schedule']"
"['loan', 'servicing', 'company']","['loan', 'servicing', 'company', 'manages', 'loan', 'behalf', 'lender', 'handling', 'payment', 'customer', 'service']"
"['get', 'loan', 'student', 'loan']","['yes', 'student', 'loan', 'disqualify', 'obtaining', 'additional', 'loan', 'may', 'affect', 'debttoincome', 'ratio']"
"['implication', 'taking', 'loan', 'business']","['business', 'loan', 'facilitate', 'growth', 'require', 'careful', 'planning', 'ensure', 'repayment', 'avoid', 'financial', 'strain']"
"['peertopeer', 'loan']","['peertopeer', 'loan', 'facilitated', 'online', 'platform', 'connect', 'borrower', 'directly', 'individual', 'lender']"
"['ensure', 'get', 'best', 'loan', 'term']","['shop', 'around', 'compare', 'offer', 'maintain', 'good', 'credit', 'score', 'consider', 'negotiating', 'term', 'lender']"
"['find', 'reputable', 'lender']","['research', 'online', 'review', 'ask', 'recommendation', 'check', 'lender', 'credential', 'regulatory', 'body']"
"['loan', 'calculator']","['loan', 'calculator', 'online', 'tool', 'help', 'estimate', 'monthly', 'payment', 'interest', 'cost', 'total', 'repayment', 'amount']"
"['grant', 'available', 'loan']","['grant', 'typically', 'don', '’', 't', 'require', 'repayment', 'program', 'may', 'offer', 'assistance', 'subsidized', 'loan', 'specific', 'purpose']"
"['feel', 'overwhelmed', 'debt']","['consider', 'consulting', 'financial', 'advisor', 'credit', 'counselor', 'personalized', 'advice', 'strategy']"
"['educate', 'loan']","['read', 'financial', 'blog', 'take', 'online', 'course', 'seek', 'resource', 'reputable', 'financial', 'institution']"
"['common', 'reason', 'loan', 'denial']","['common', 'reason', 'include', 'low', 'credit', 'score', 'high', 'debttoincome', 'ratio', 'lack', 'sufficient', 'income']"
"['appeal', 'loan', 'denial']","['request', 'reconsideration', 'providing', 'additional', 'information', 'documentation', 'may', 'support', 'application']"
"['loan', 'repayment', 'plan']","['repayment', 'plan', 'outline', 'make', 'payment', 'loan', 'including', 'total', 'duration', 'payment', 'amount']"
"['transfer', 'loan', 'new', 'lender']","['loan', 'may', 'allow', 'transfer', 'depends', 'lender', 'policy', 'term']"
"['hardship', 'program']","['hardship', 'program', 'offer', 'assistance', 'borrower', 'facing', 'financial', 'difficulty', 'potentially', 'allowing', 'modified', 'payment']"
"['taking', 'loan']","['ass', 'financial', 'situation', 'understand', 'loan', 'term', 'ensure', 'meet', 'repayment', 'obligation']"
"['know', 'loan', 'right', 'me']","['evaluate', 'need', 'financial', 'capacity', 'loan', '’', 's', 'term', 'determine', 'aligns', 'goal']"
"['resource', 'help', 'loan', 'management']","['financial', 'advisor', 'budgeting', 'apps', 'online', 'calculator', 'assist', 'managing', 'loan', 'effectively']"
"['build', 'good', 'relationship', 'lender']","['communicate', 'openly', 'make', 'payment', 'time', 'ask', 'question', 'needed', 'foster', 'positive', 'relationship']"
"['cost', 'associated', 'taking', 'loan']","['yes', 'cost', 'include', 'interest', 'origination', 'fee', 'charge', 'outlined', 'loan', 'agreement']"
"['step', 'take', 'face', 'financial', 'hardship']","['contact', 'lender', 'discus', 'option', 'consider', 'debt', 'counseling', 'review', 'budget', 'adjustment']"
"['monitor', 'credit', 'score']","['use', 'free', 'credit', 'monitoring', 'service', 'check', 'score', 'credit', 'bureau', 'stay', 'informed']"
"['best', 'way', 'use', 'personal', 'loan']","['use', 'personal', 'loan', 'consolidating', 'highinterest', 'debt', 'funding', 'essential', 'expense', 'making', 'significant', 'purchase', 'ensuring', 'repay']"
"['find', 'information', 'loan']","['visit', 'financial', 'website', 'consult', 'bank', 'seek', 'advice', 'financial', 'professional', 'comprehensive', 'information']"
"['credit', 'risk']","['credit', 'risk', 'possibility', 'borrower', 'default', 'debt', 'obligation', 'failing', 'repay', 'loan', 'meet', 'contractual', 'obligation']"
"['credit', 'risk', 'important']","['understanding', 'credit', 'risk', 'help', 'lender', 'ass', 'likelihood', 'default', 'enabling', 'make', 'informed', 'lending', 'decision', 'manage', 'potential', 'loss']"
"['ass', 'credit', 'risk']","['credit', 'risk', 'assessed', 'lender', 'credit', 'rating', 'agency', 'financial', 'institution', 'various', 'metric', 'model']"
"['factor', 'contribute', 'credit', 'risk']","['factor', 'include', 'borrower', '’', 's', 'credit', 'history', 'income', 'stability', 'debttoincome', 'ratio', 'economic', 'condition', 'type', 'loan']"
"['credit', 'risk', 'measured']","['credit', 'risk', 'measured', 'using', 'credit', 'score', 'credit', 'rating', 'risk', 'assessment', 'model', 'analyze', 'borrower', 'data']"
"['credit', 'score']","['credit', 'score', 'numerical', 'representation', 'borrower', '’', 's', 'creditworthiness', 'typically', 'ranging', '300', '850', 'based', 'credit', 'history', 'behavior']"
"['role', 'credit', 'bureau']","['credit', 'bureau', 'collect', 'maintain', 'consumer', 'credit', 'information', 'providing', 'credit', 'report', 'score', 'lender', 'ass', 'credit', 'risk']"
"['lender', 'determine', 'borrower', '’', 's', 'creditworthiness']","['lender', 'evaluate', 'credit', 'score', 'income', 'employment', 'history', 'existing', 'debt', 'payment', 'history', 'determine', 'creditworthiness']"
"['credit', 'rating']","['credit', 'rating', 'evaluation', 'credit', 'risk', 'associated', 'borrower', 'often', 'assigned', 'credit', 'rating', 'agency', 'corporation', 'government']"
"['borrower', 'improve', 'credit', 'risk', 'profile']","['borrower', 'improve', 'profile', 'paying', 'bill', 'time', 'reducing', 'debt', 'maintaining', 'low', 'credit', 'utilization', 'ratio', 'avoiding', 'new', 'credit', 'inquiry']"
"['default', 'risk']","['default', 'risk', 'risk', 'borrower', 'fail', 'make', 'required', 'payment', 'debt', 'leading', 'financial', 'loss', 'lender']"
"['counterparty', 'risk']","['counterparty', 'risk', 'risk', 'party', 'financial', 'transaction', 'fulfill', 'obligation', 'derivative', 'trading']"
"['concentration', 'risk']","['concentration', 'risk', 'arises', 'lender', 'significant', 'portion', 'portfolio', 'exposed', 'single', 'borrower', 'industry', 'geographic', 'area']"
"['systemic', 'risk']","['systemic', 'risk', 'refers', 'potential', 'collapse', 'financial', 'system', 'due', 'interconnectedness', 'institution', 'market']"
"['economic', 'downturn', 'affect', 'credit', 'risk']","['economic', 'downturn', 'generally', 'increase', 'credit', 'risk', 'unemployment', 'rise', 'borrower', 'may', 'struggle', 'meet', 'payment', 'obligation']"
"['lender', 'mitigate', 'credit', 'risk']","['lender', 'mitigate', 'credit', 'risk', 'diversifying', 'portfolio', 'conducting', 'thorough', 'credit', 'assessment', 'requiring', 'collateral']"
"['loan', 'underwriting']","['loan', 'underwriting', 'process', 'lender', 'use', 'evaluate', 'creditworthiness', 'borrower', 'determine', 'term', 'loan']"
"['role', 'collateral', 'play', 'credit', 'risk']","['collateral', 'provides', 'security', 'lender', 'borrower', 'default', 'lender', 'seize', 'collateral', 'recover', 'loss']"
"['credit', 'insurance']","['credit', 'insurance', 'protects', 'lender', 'risk', 'default', 'covering', 'loss', 'case', 'borrower', 'fails', 'repay']"
"['credit', 'derivative', 'work', 'managing', 'risk']","['credit', 'derivative', 'credit', 'default', 'swap', 'allow', 'lender', 'transfer', 'credit', 'risk', 'party', 'providing', 'hedge', 'default']"
"['regulatory', 'framework', 'govern', 'credit', 'risk']","['regulatory', 'framework', 'basel', 'iii', 'establish', 'capital', 'requirement', 'risk', 'management', 'practice', 'financial', 'institution', 'address', 'credit', 'risk']"
"['economic', 'indicator', 'affect', 'credit', 'risk', 'assessment']","['economic', 'indicator', 'gdp', 'growth', 'unemployment', 'rate', 'inflation', 'help', 'lender', 'evaluate', 'broader', 'economic', 'condition', 'influencing', 'credit', 'risk']"
"['impact', 'interest', 'rate', 'credit', 'risk']","['rising', 'interest', 'rate', 'increase', 'credit', 'risk', 'higher', 'borrowing', 'cost', 'may', 'lead', 'higher', 'default', 'rate', 'among', 'borrower']"
"['trend', 'consumer', 'behavior', 'influence', 'credit', 'risk']","['change', 'consumer', 'behavior', 'spending', 'habit', 'saving', 'rate', 'affect', 'default', 'rate', 'overall', 'credit', 'risk', 'market']"
"['future', 'outlook', 'credit', 'risk', 'management']","['future', 'credit', 'risk', 'management', 'likely', 'include', 'advanced', 'data', 'analytics', 'machine', 'learning', 'model', 'improved', 'regulatory', 'compliance', 'better', 'predict', 'mitigate', 'risk']"
