,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Risk_bad,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
50,29,1,7.75491027202143,24,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
51,30,3,8.693664334532016,27,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
52,25,2,7.140453043101158,12,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
53,31,2,8.125039097367745,18,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
54,57,2,7.707512194600341,36,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False
55,26,1,6.663132695990803,6,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
56,52,3,8.774622220696997,12,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False
57,31,2,9.165970424240243,36,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
58,23,3,7.581209826196346,18,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
59,23,1,8.736971085254146,36,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
60,27,2,7.237778191923443,9,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
61,50,2,7.337587743538596,15,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False
62,61,3,7.577121930876679,36,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
63,25,2,9.57644075656207,48,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False
64,26,2,8.064950891749143,24,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
65,48,2,8.554488976159934,27,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
66,29,2,7.682943169878292,12,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
67,22,2,6.914730892718563,12,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False
68,37,2,7.506042178518122,36,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
69,25,2,7.780720886117918,36,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
70,30,2,9.003685138166775,36,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
71,46,1,6.593044534142437,7,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
72,51,3,7.059617628291383,8,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
73,41,1,8.691818541575723,42,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
74,40,3,7.589335823170617,36,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
75,66,3,7.330405211844402,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
76,34,2,8.285261134068948,42,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
77,51,2,8.470311205516108,11,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
78,39,1,9.152287440527566,54,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
79,22,2,8.251142139090751,30,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
80,44,2,8.68996933536666,24,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
81,47,2,7.10085190894405,15,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
82,24,1,7.357556200910353,18,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
83,58,1,7.470224135899966,24,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
84,52,1,7.747164966520335,10,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
85,29,3,7.252762418053187,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
86,27,2,7.166265974133638,18,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
87,47,2,9.442404020664952,36,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
88,30,3,7.718240951959316,18,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False
89,28,2,7.010311867307229,12,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
90,56,2,6.42648845745769,12,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
91,54,2,7.25063551189868,12,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
92,33,1,6.680854678790215,12,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
93,20,2,8.193400231952097,24,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
94,54,2,7.183870715062453,12,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
95,58,2,9.676900579444158,54,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
96,61,2,7.60688453121963,12,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
97,34,2,7.871692664323645,18,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
98,36,2,7.756623334538858,36,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
99,36,3,8.86177531100083,20,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
100,41,1,7.292337176173877,24,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,False
101,24,2,7.750614732770409,36,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
102,24,2,6.837332814685591,6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
103,35,2,7.5595594960077,9,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
104,26,2,7.801800401908973,12,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False
105,39,3,9.387481868728596,24,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False
106,39,3,8.77307495131822,18,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
107,32,2,8.712430973476739,12,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
108,30,2,8.951699168308815,24,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
109,35,2,7.251344983372214,14,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False
110,31,2,7.278628942320682,6,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
111,23,2,5.971261839790462,15,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
112,28,1,8.741935464094144,18,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
113,25,2,8.96890555068972,36,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
114,35,2,7.426549072397305,12,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
115,47,2,8.182559264068665,48,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
116,30,3,8.878218658092228,42,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
117,27,2,7.664815785285735,10,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
118,23,2,8.361941906144946,33,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
119,36,3,7.768956044538332,12,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False
120,25,2,7.51479976048867,21,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
121,41,3,8.260492856573185,24,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
122,24,1,7.477604243197589,12,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
123,63,2,6.660575149839686,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
124,27,2,7.562161631225652,18,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
125,30,2,7.659642954564682,12,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
126,40,1,6.55250788703459,12,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
127,30,2,6.459904454377535,12,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
128,34,3,7.528331766707247,12,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
129,29,2,8.160232492367689,12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
130,24,2,9.046290859969677,48,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
131,29,2,8.837390855544697,36,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
132,27,1,7.903965634032166,15,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
133,47,2,7.592870287844818,18,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
134,21,2,9.224637676677007,60,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
135,38,2,7.122866658599083,12,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
136,27,2,9.061027968789174,27,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
137,66,1,6.641182169740591,12,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True
138,35,2,7.911324018963353,15,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
139,44,1,7.53955882930103,12,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
140,27,0,6.5638555265321274,6,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False
141,30,3,8.475328987317539,36,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
142,27,3,8.13622555490846,27,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
143,22,2,7.808729306744399,18,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
144,23,2,7.7354333524996886,21,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
145,30,2,8.179199798423086,48,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
146,39,2,6.756932389247553,6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
147,51,2,6.525029657843462,12,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
148,28,2,8.58876938990546,36,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
149,46,2,7.366445148327599,18,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
150,42,2,7.204892510204673,6,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
151,38,2,7.562161631225652,10,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
152,24,2,8.673855001429615,36,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
153,29,2,8.956479847999912,24,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
154,36,3,8.848939995030118,24,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False
155,20,2,7.156176637480615,12,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
156,48,2,7.160845906664299,9,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
157,45,1,5.82600010738045,12,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
158,38,2,8.163940954755008,24,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False
159,34,1,7.5485559791698735,6,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
160,36,2,7.962763930168115,24,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False
161,30,2,6.961296045910167,18,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
162,36,2,7.140453043101158,15,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
163,70,3,8.896724917497897,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
164,36,2,6.812345094177479,36,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
165,32,2,7.999007213243955,6,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False
166,33,2,7.030857476116121,18,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
167,20,2,7.3632795869630385,11,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
168,25,2,8.287025025165063,24,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
169,31,2,7.5678626054638825,24,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
170,33,2,6.856461984594587,15,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
171,26,2,6.637258031284457,12,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
172,34,3,7.6324011266014535,24,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
173,33,2,7.254177846456518,8,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
174,26,2,8.135639903354386,21,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
175,53,3,8.920656296853728,30,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
176,42,2,7.854381210652365,12,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
177,52,2,5.823045895483019,6,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
178,31,3,7.5822291942764615,12,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
179,65,2,6.3473892096560105,21,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
180,28,2,9.166597449028265,36,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False
181,30,3,8.40178233990491,36,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
182,40,1,7.4067107301776405,21,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
183,50,2,8.236685322712457,24,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
184,36,2,6.784457062637643,18,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False
185,31,2,7.215239978730097,15,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
186,74,3,8.542665987389269,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
187,68,0,7.069023426578259,16,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
188,20,2,6.513230110912307,12,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False
189,33,2,8.084562415235304,18,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
190,54,3,8.431853144249223,24,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False
191,34,1,8.254268770090183,48,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
192,36,2,8.272570608424903,27,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False
193,29,2,7.653494909661253,6,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
194,21,2,8.016647877057803,45,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False
195,34,3,7.313886831633462,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
196,28,2,7.231287004327616,6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
197,27,2,6.85751406254539,12,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
198,36,2,7.9229859587111955,24,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
199,40,3,8.365672383774996,18,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False
200,52,2,6.841615476477592,9,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
201,27,1,7.0630481633881725,12,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
202,26,2,8.540323608805092,27,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
203,21,2,6.804614520062624,12,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
204,38,1,7.3098814858247865,12,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
205,38,3,9.270776740780013,30,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
206,43,2,7.5678626054638825,12,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
207,26,2,7.261225091971921,12,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
208,21,1,8.789964651132264,24,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
209,55,2,7.253470382684528,12,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
210,33,2,8.03073492409854,9,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
211,45,1,8.251924713801357,36,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
212,50,2,8.574140471857987,27,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
213,66,3,7.553810852008231,30,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
214,51,2,8.114324709155339,36,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
215,39,1,6.837332814685591,6,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
216,31,2,8.04044688130311,18,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
217,23,2,8.272059622210412,36,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
218,24,1,8.013343181386672,24,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
219,64,2,7.218176838403408,10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
220,26,1,6.437751649736401,12,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
221,23,2,7.090076835776092,12,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
222,30,2,6.561030665896573,12,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
223,32,2,7.999007213243955,24,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
224,30,2,8.446126742982377,15,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
225,27,2,7.868254265520613,36,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
226,27,2,9.302098797215724,48,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False
227,53,3,8.970177815492379,12,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
228,22,2,7.298445101508147,9,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False
229,22,2,8.054840221101024,24,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
230,26,2,8.345217926676428,36,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False
231,51,1,7.826842098158293,9,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
232,35,2,7.669028288589683,12,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False
233,25,1,6.763884908562435,18,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
